block_id,fazenda,status,month,center_lon,center_lat,image_date,cloud_percent,mgrs_tile,system_id,s2dr4_call
agua_bonita_001,Agua Bonita,selected,2026-04,-47.98313815902177,-5.082977356620926,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98313816,-5.08297736), date='2026-04-26')"
alvorada_001,Alvorada,selected,2026-04,-48.02046572060438,-5.082994031707935,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02046572,-5.08299403), date='2026-04-26')"
alvorada_002,Alvorada,selected,2026-04,-47.986229349478236,-5.082834807501913,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98622935,-5.08283481), date='2026-04-26')"
alvorada_003,Alvorada,selected,2026-04,-48.02062306776486,-5.048663709579723,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02062307,-5.04866371), date='2026-04-26')"
alvorada_004,Alvorada,selected,2026-04,-47.98638849800219,-5.04850556614946,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98638850,-5.04850557), date='2026-04-26')"
faz_promissao_e_deus_dara_001,Faz_Promissão e Deus Dará,selected,2026-04,-47.43509069212747,-5.050935448306136,2026-04-26,2.281472,23MKQ,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T23MKQ,"s2dr4.inferutils.test(lonlat=(-47.43509069,-5.05093545), date='2026-04-26')"
faz_promissao_e_deus_dara_002,Faz_Promissão e Deus Dará,selected,2026-04,-47.40083953754398,-5.051063139963373,2026-04-26,2.281472,23MKQ,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T23MKQ,"s2dr4.inferutils.test(lonlat=(-47.40083954,-5.05106314), date='2026-04-26')"
faz_promissao_e_deus_dara_003,Faz_Promissão e Deus Dará,selected,2026-04,-47.366587512112396,-5.051189026990748,2026-04-26,2.281472,23MKQ,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T23MKQ,"s2dr4.inferutils.test(lonlat=(-47.36658751,-5.05118903), date='2026-04-26')"
faz_promissao_e_deus_dara_004,Faz_Promissão e Deus Dará,selected,2026-04,-47.33233462822769,-5.051313109163821,2026-04-26,2.281472,23MKQ,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T23MKQ,"s2dr4.inferutils.test(lonlat=(-47.33233463,-5.05131311), date='2026-04-26')"
faz_promissao_e_deus_dara_005,Faz_Promissão e Deus Dará,selected,2026-04,-47.40071353478459,-5.016716380284367,2026-04-26,2.281472,23MKQ,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T23MKQ,"s2dr4.inferutils.test(lonlat=(-47.40071353,-5.01671638), date='2026-04-26')"
